step,total_score,phi,self_reference_depth,workspace_activation,cross_module_integration,information_density,level_idx,level,phi_raw_nats,phi_instant_nats,phi_causal_nats
123,0.49127959757915474,0.09904753540946123,0.2175121544207664,0.6084048722169544,0.8028169014084507,0.9384728541170342,3,中等意识,0.19874670908254072,0.20156891522607706,0.19592450293900435
124,0.49705627525906076,0.09938617096602884,0.21673598817660347,0.6069510604869011,0.8028169014084507,0.9793929500210833,3,中等意识,0.199430713531292,0.20242628319363026,0.1964351438689537
125,0.47795710988142825,0.10176966744933573,0.21815558533269755,0.6115325031845966,0.8028169014084507,0.8400913002263022,3,中等意识,0.2042464242044339,0.20476819681311204,0.20372465159575573
126,0.46441169734972454,0.10666154026297975,0.21932912721573516,0.6160223170283381,0.8028169014084507,0.7340842876898319,3,中等意识,0.21413761760728994,0.21414253806341227,0.2141326971511676
127,0.4832452572258665,0.10635463014288682,0.21864843428693245,0.6204223345952049,0.8028169014084507,0.8551937708801809,3,中等意识,0.21351675430596834,0.21394802015801145,0.2130854884539252
128,0.49527512563863463,0.10647021490648104,0.2179783496613715,0.6187281736175866,0.8028169014084507,0.9383525798302174,3,中等意识,0.21375057148651216,0.2143263514707447,0.2131747915022796
129,0.5010526326328707,0.10685058185801444,0.21731895755821,0.6170678958595206,0.8028169014084507,0.9793282413542058,3,中等意识,0.21452005943318814,0.21528957404241295,0.2137505448239633
130,0.48196185007589404,0.1091497959505495,0.21869737026307765,0.6212780317254256,0.8028169014084507,0.8407729360591057,3,中等意识,0.21917275904277272,0.2175218778691112,0.22082364021643422
131,0.4669267666277159,0.11367700707780806,0.2197763128684534,0.6195667568052028,0.8028169014084507,0.7338368042789496,3,中等意识,0.22834100265691165,0.2261577915699648,0.23052421374385848
132,0.4845314975835271,0.1134052194630793,0.21893748231025184,0.6178897073833844,0.8028169014084507,0.8550091633155993,3,中等意识,0.22779032835970642,0.22595889278598674,0.22962176393342607
133,0.4976515884818311,0.11352928875281645,0.21829669037143823,0.6215555234906864,0.8028169014084507,0.9382362882634127,3,中等意识,0.22804170334666524,0.22635636129163655,0.2297270454016939
134,0.504999902849206,0.1166555180532662,0.2177200798118954,0.6241939082943437,0.8028169014084507,0.9792656362196773,3,中等意识,0.23437810096398043,0.22743919095385307,0.24131701097410777
135,0.48872320873581704,0.13099325253481162,0.21897625485206995,0.6263700626914211,0.8028169014084507,0.8422816787448384,3,中等意识,0.26350062030255084,0.23449097671710012,0.2925102638880016
136,0.47559385036400337,0.144415725934586,0.21995212447204596,0.6245569471518784,0.8028169014084507,0.7334981618258793,3,中等意识,0.29086490569144774,0.2802598879698985,0.30146992341299705
137,0.4938012057939126,0.1440447623804843,0.2192102474120745,0.6258555692983437,0.8028169014084507,0.8547564771667849,3,中等意识,0.2901072168553577,0.28003922976472045,0.30017520394599495
138,0.5058216563072431,0.14415665180082207,0.21848504128873855,0.6240527436266625,0.8028169014084507,0.9380770406151145,3,中等意识,0.29033574100337545,0.2804245255247943,0.30024695648195665
139,0.513064918472469,0.1477176951024296,0.21789003484684263,0.6255856546218421,0.8028169014084507,0.9791798434762298,3,中等意识,0.2976128207255414,0.28152017486152386,0.313705466589559
140,0.4967740257805552,0.16478432938311818,0.2190992220987457,0.623788227243691,0.8028169014084507,0.8429138218973207,3,中等意识,0.33260124420488213,0.28927260807632477,0.37592988033343955
141,0.4838266398957254,0.1794932648592131,0.22002155619930347,0.6220267484131029,0.8028169014084507,0.7332018831783378,3,中等意识,0.36291806958788675,0.3418513513406322,0.38398478783514134
142,0.5013809733627375,0.17902578070565112,0.21910374549374584,0.6203004991591266,0.8028169014084507,0.854535326493734,3,中等意识,0.36195205951587284,0.3416122191358015,0.38229189989594425
143,0.5134010597776789,0.1791222838232627,0.21822356760182532,0.6186087748902298,0.8028169014084507,0.9379376002784137,3,中等意识,0.36215146002902776,0.3419800080957697,0.38232291196228585
144,0.5200918744447772,0.18318779874967714,0.21737834027524816,0.6169508851067108,0.8028169014084507,0.9791046626618397,3,中等意识,0.37055839465916096,0.34310612631292065,0.39801066300540133
145,0.5048103915516745,0.20380363594909548,0.21847777054628345,0.6153261531188623,0.8028169014084507,0.8435687836645421,3,中等意识,0.4133956755741727,0.35181200392667916,0.4749793472216663
146,0.4921847236848858,0.2203023475245187,0.2192969101958231,0.6137339157707709,0.8028169014084507,0.7329306088583146,3,中等意识,0.44794771335711986,0.41378716540628074,0.482108261307959
147,0.5107471543246292,0.21970086669057481,0.21862122251108773,0.6169219807159969,0.8028169014084507,0.8543327781658564,3,中等意识,0.4466835660182486,0.413536501854689,0.4798306301818082
148,0.5228298899016324,0.21977743365469063,0.2179555534280836,0.6152978268159627,0.8028169014084507,0.9378098343830691,3,中等意识,0.44684446920423476,0.41387851507772216,0.47981042333074736
149,0.5297357388916898,0.2244630323581195,0.2173000505949746,0.6137061559939292,0.8028169014084507,0.9790357280179269,3,中等意识,0.4567020350381658,0.415071193431733,0.49833287664459863
150,0.5167974376045933,0.250392981127493,0.2187214115187973,0.6168947761346921,0.8028169014084507,0.8434171634022138,3,中等意识,0.5116640714188503,0.42505862810403,0.5982695147336705
151,0.5057207990223528,0.2693591432055529,0.21988399230262545,0.6196263758854692,0.8028169014084507,0.73277039534437,3,中等意识,0.55234540539849,0.5000110839452221,0.6046797268517579
152,0.5241718383064362,0.2687434239052721,0.2191498218718664,0.6223033436412307,0.8028169014084507,0.8542131263053905,3,中等意识,0.5510178681921303,0.4997641457508761,0.6022715906333844
153,0.5362223144394321,0.2687926803891819,0.2184315070442081,0.6205715624826919,0.8028169014084507,0.9377343343671102,3,中等意识,0.5511240514414018,0.5000629356386268,0.6021851672441767
154,0.5433043701918518,0.27428455349331177,0.2177286123313392,0.6188744169473237,0.8028169014084507,0.9789949712073414,3,中等意识,0.5629821745495598,0.5013902268673656,0.624574122231754
155,0.5317286789578171,0.30876869813043706,0.21893022721298497,0.6172112143226629,0.8028169014084507,0.844965572242587,3,中等意识,0.6383675463632728,0.5136460753761485,0.763089017350397
156,0.5203358996101818,0.33126146563146014,0.21984213662159158,0.6155812757504955,0.8028169014084507,0.7324831363080614,3,中等意识,0.688489088907787,0.6072823043844044,0.7696958734311696
157,0.5380977738136593,0.3314828056858499,0.21883561811397326,0.6139839359497712,0.8028169014084507,0.8539985419850519,3,中等意识,0.6889863747285259,0.6072823043844027,0.770690445072649
158,0.5498798171481072,0.3304694087995884,0.21787771545623322,0.6124185429450615,0.8028169014084507,0.9375988865750736,3,中等意识,0.6867102412001698,0.6072823043843991,0.7661381780159404
159,0.5567574429842278,0.330448990679625,0.21734440535254046,0.6163733101360306,0.8028169014084507,0.9789218128994476,3,中等意识,0.6866643988220651,0.6072823043844027,0.7660464932597275
160,0.5388351834780182,0.3346583703179988,0.21874968799448655,0.6200694541882796,0.8028169014084507,0.8456225478685009,3,中等意识,0.6961299981147442,0.6192790075601993,0.7729809886692891
161,0.5224765257935469,0.33774268450747247,0.2198421711046325,0.6183823508187998,0.8028169014084507,0.7322171333353475,3,中等意识,0.7030847341589883,0.6269343774122165,0.7792350909057602
162,0.5402439132783114,0.33786031859894927,0.21899844424794443,0.6167289895167095,0.8028169014084507,0.8537997772930218,3,中等意识,0.7033503067975371,0.6269343774122165,0.7797662361828577
163,0.5520526370504943,0.3368390121776288,0.2181837941242364,0.615108695440661,0.8028169014084507,0.9374733720761163,3,中等意识,0.7010453821732718,0.6269343774122165,0.7751563869343272
164,0.5576580727920515,0.3363326053178003,0.21739641828664488,0.6135208072461336,0.8028169014084507,0.9788539738290374,3,中等意识,0.6999031668332645,0.6269343774122165,0.7728719562543125
165,0.5384773246055352,0.3390075321671618,0.2185172862039633,0.6119646768154965,0.8028169014084507,0.8471044578544175,3,中等意识,0.7059415262159541,0.6346043667633046,0.7772786856686036
166,0.5216252380025205,0.34136277811706756,0.2192656785021584,0.6104396689934724,0.8028169014084507,0.7318672912829148,3,中等意识,0.7112684897256307,0.638352498402754,0.7841844810485075
167,0.5406623037535288,0.34130417916048345,0.21859375336151582,0.6151169302428878,0.8028169014084507,0.8535382797389133,3,中等意识,0.7111358365885998,0.6383524984027504,0.7839191747744492
168,0.5525224389210225,0.340283081533057,0.21793143859945888,0.6135288773523158,0.8028169014084507,0.9373081671047544,3,中等意识,0.7088252939112656,0.6383524984027522,0.779298089419779
169,0.5581911373519921,0.3398510512226387,0.21727892428490286,0.6119725855195551,0.8028169014084507,0.9787646153583375,3,中等意识,0.7078482414384144,0.6383524984027522,0.7773439844740766
170,0.5390747856830747,0.34279447317456496,0.21843350040268517,0.6104474195234497,0.8028169014084507,0.8469106874834417,3,中等意识,0.7145113534181871,0.6466774814234144,0.7823452254129597
